id_habito,fecha,duracion,start_timer,end_timer,duracion_descanso
2,2023-11-12,0:4:10,11:44:30,12:36:38,0:0:15
3,2023-12-12,0:30:10,11:44:30,12:36:38,0:0:15
2,2023-09-12,0:20:10,11:44:30,12:36:38,0:0:15
1,2023-06-12,0:22:56,11:44:30,12:36:38,0:0:15
1,2023-11-15,0:0:5,20:07:50,20:41:32,0:0:0
3,2023-11-15,0:0:12,20:07:59,20:11:12,0:0:0
2,2023-11-15,0:1:6,20:13:01,21:03:56,0:1:0
2,2023-11-16,0:1:0,,08:14:44,0:0:0
3,2023-11-16,0:40:0,,08:15:10,0:0:0
3,2023-11-17,0:3:28,11:00:18,11:03:48,0:0:0
1,2023-11-17,0:4:21,11:04:58,21:50:17,0:0:0
4,2023-11-17,0:10:0,15:17:10,15:28:31,0:0:0
5,2023-11-17,2:0:11,15:41:47,18:12:10,0:0:0
0,2023-11-17,0:23:38,20:43:09,22:33:21,0:10:0
2,2023-11-19,0:6:45,10:32:50,10:39:48,0:0:0
1,2023-11-19,0:10:0,11:51:06,12:13:45,0:5:0
0,2023-11-19,0:3:0,12:17:47,12:28:34,0:2:45
7,2023-11-19,0:1:0,12:28:48,12:35:21,0:1:0
8,2023-11-19,0:1:0,15:58:36,16:04:41,0:1:0
5,2023-11-19,1:38:45,16:05:17,17:59:30,0:15:0
3,2023-11-20,0:10:0,09:02:45,09:15:48,0:1:0
2,2023-11-20,0:8:9,09:30:39,09:38:48,0:0:0
1,2023-11-20,0:10:0,09:39:49,09:55:11,0:5:0
10,2023-11-20,0:2:0,10:06:57,10:11:14,0:2:0
14,2023-11-20,0:1:0,10:12:09,10:15:11,0:1:0
5,2023-11-20,1:6:51,10:20:29,19:58:32,0:10:0
18,2023-11-20,0:5:0,17:41:23,17:48:04,0:1:0
17,2023-11-20,0:5:0,17:48:24,17:56:07,0:1:0
12,2023-11-20,0:0:2,23:25:04,23:25:07,0:0:0
8,2023-11-20,0:0:5,23:36:17,23:36:23,0:0:0
7,2023-11-20,0:0:4,23:36:44,23:36:49,0:0:0
3,2023-11-21,0:10:0,10:15:45,10:27:56,0:1:0
